no,adult,530101,38.5,66,28,cool,reduced,?,more_3_sec,extreme_pain,absent,severe,?,?,?,decreased,distend_large,45,8.4,?,?,died,11300,0,0,no,no
yes,adult,534817,39.2,88,20,?,?,pale_cyanotic,less_3_sec,mild_pain,absent,slight,?,?,?,absent,other,50,85,cloudy,2,euthanized,2208,0,0,no,no
no,adult,530334,38.3,40,24,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,?,?,?,normal,normal,33,6.7,?,?,lived,0,0,0,yes,no
yes,young,5290409,39.1,164,84,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,none,less_1_liter,5,decreased,?,48,7.2,serosanguious,5.3,died,2208,0,0,yes,yes
no,adult,530255,37.3,104,35,?,?,dark_cyanotic,more_3_sec,?,?,?,?,?,?,?,?,74,7.4,?,?,died,4300,0,0,no,no
no,adult,528355,?,?,?,warm,normal,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,none,?,decreased,firm,?,?,?,?,lived,0,0,0,no,no
yes,adult,526802,37.9,48,16,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,?,decreased,distend_large,37,7,?,?,lived,3124,0,0,no,yes
yes,adult,529607,?,60,?,cool,?,?,less_3_sec,?,absent,slight,slight,none,?,decreased,distend_small,44,8.3,?,?,died,2208,0,0,no,yes
no,adult,530051,?,80,36,cool,absent,pale_pink,less_3_sec,severe_pain,absent,severe,slight,none,?,decreased,distend_large,38,6.2,?,?,euthanized,3205,0,0,no,yes
no,young,5299629,38.3,90,?,normal,?,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,?,decreased,?,40,6.2,clear,2.2,lived,0,0,0,yes,no
yes,adult,528548,38.1,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3,increased,distend_large,44,6,cloudy,3.6,lived,2124,0,0,yes,yes
